Agency,UZA_Name,UACE_Code,Report_Year,Mode_Name,UZA_Area(Sq Miles),UZA_Pop,Service_Area(Sq Miles),Service_Area_Pop,Time_Period,VRM,VRH,UPT
"Chelan Douglas PTBA , dba: Link Transit","Wenatchee, WA",93862.0,2024,Demand Response,32.6,78142.0,197.0,122915.0,Annual Total,8323.0,318.0,1312.0
"Chelan Douglas PTBA , dba: Link Transit","Wenatchee, WA",93862.0,2024,Bus,32.6,78142.0,197.0,122915.0,Annual Total,2421453.0,121756.0,1233837.0
"Chelan Douglas PTBA , dba: Link Transit","Wenatchee, WA",93862.0,2024,Vanpool,32.6,78142.0,197.0,122915.0,Annual Total,281038.0,5390.0,17530.0
Skagit Transit,"Mount Vernon, WA",60490.0,2024,Commuter Bus,30.66,66825.0,760.0,118568.0,Annual Total,607453.0,20127.0,144527.0
Skagit Transit,"Mount Vernon, WA",60490.0,2024,Demand Response,30.66,66825.0,760.0,118568.0,Annual Total,438984.0,37522.0,69156.0
Skagit Transit,"Mount Vernon, WA",60490.0,2024,Bus,30.66,66825.0,760.0,118568.0,Annual Total,1018565.0,69736.0,357057.0
Skagit Transit,"Mount Vernon, WA",60490.0,2024,Vanpool,30.66,66825.0,760.0,118568.0,Annual Total,576823.0,16015.0,52867.0
"Fairbanks North Star Borough , dba: Metropolitan Area Commuter System","Fairbanks, AK",28549.0,2024,Demand Response,74.3,71396.0,7338.0,95356.0,Annual Total,163782.0,9200.0,22618.0
"Fairbanks North Star Borough , dba: Metropolitan Area Commuter System","Fairbanks, AK",28549.0,2024,Bus,74.3,71396.0,7338.0,95356.0,Annual Total,520078.0,31622.0,273346.0
"City of Wilsonville, dba: South Metro Area Regional Transit","Portland, OR--WA",71317.0,2024,Demand Response,519.3,2104238.0,80.0,73800.0,Annual Total,48416.0,4360.0,12704.0
"City of Wilsonville, dba: South Metro Area Regional Transit","Portland, OR--WA",71317.0,2024,Bus,519.3,2104238.0,80.0,73800.0,Annual Total,489845.0,24289.0,182585.0
"City of Wilsonville, dba: South Metro Area Regional Transit","Portland, OR--WA",71317.0,2024,Vanpool,519.3,2104238.0,80.0,73800.0,Annual Total,29714.0,625.0,2318.0
"City of Corvallis, dba: Corvallis Transit System","Corvallis, OR",20422.0,2024,Bus,17.45,66791.0,14.0,67306.0,Annual Total,407089.0,39622.0,1020099.0
"City of Lewiston, dba: Lewiston Transit System","Lewiston, ID--WA",49312.0,2024,Demand Response,27.93,54798.0,17.0,54798.0,Annual Total,41450.0,3856.0,8208.0
"City of Lewiston, dba: Lewiston Transit System","Lewiston, ID--WA",49312.0,2024,Bus,27.93,54798.0,17.0,54798.0,Annual Total,102656.0,7332.0,38535.0
Asotin County Public Transportation Benefit Area,"Lewiston, ID--WA",49312.0,2024,Demand Response,27.93,54798.0,20.0,22397.0,Annual Total,45615.0,3921.0,8424.0
Asotin County Public Transportation Benefit Area,"Lewiston, ID--WA",49312.0,2024,Bus,27.93,54798.0,20.0,22397.0,Annual Total,164704.0,10358.0,47147.0
Asotin County Public Transportation Benefit Area,"Lewiston, ID--WA",49312.0,2024,Vanpool,27.93,54798.0,20.0,22397.0,Annual Total,143251.0,3280.0,23128.0
"Coeur d'Alene Tribe, dba: Citylink Transit","Coeur d'Alene, ID",18451.0,2024,Demand Response,46.76,121831.0,388.0,21188.0,Annual Total,52932.0,1779.0,6056.0
"Coeur d'Alene Tribe, dba: Citylink Transit","Coeur d'Alene, ID",18451.0,2024,Bus,46.76,121831.0,388.0,21188.0,Annual Total,594282.0,23709.0,190302.0
"Kootenai County, dba: Citylink North","Coeur d'Alene, ID",18451.0,2024,Demand Response,46.76,121831.0,32.0,90132.0,Annual Total,70805.0,6857.0,12075.0
"Central Oregon Intergovernmental Council, dba: Cascades East Transit","Bend, OR",6868.0,2024,Demand Response,42.41,106988.0,78.0,156297.0,Annual Total,109618.0,12019.0,29312.0
"Central Oregon Intergovernmental Council, dba: Cascades East Transit","Bend, OR",6868.0,2024,Demand Response,42.41,106988.0,78.0,156297.0,Annual Total,166096.0,13563.0,34482.0
"Central Oregon Intergovernmental Council, dba: Cascades East Transit","Bend, OR",6868.0,2024,Bus,42.41,106988.0,78.0,156297.0,Annual Total,577221.0,21767.0,253484.0
"Central Oregon Intergovernmental Council, dba: Cascades East Transit","Bend, OR",6868.0,2024,Bus,42.41,106988.0,78.0,156297.0,Annual Total,333817.0,26214.0,284047.0
"Central Oregon Intergovernmental Council, dba: Cascades East Transit","Bend, OR",6868.0,2024,Vanpool,42.41,106988.0,78.0,156297.0,Annual Total,411214.0,9819.0,56004.0
"City of Portland, dba: Portland Streetcar","Portland, OR--WA",71317.0,2024,Streetcar Rail,519.3,2104238.0,11.0,101220.0,Annual Total,374391.0,64712.0,2860863.0
"City of Portland, dba: Portland Streetcar","Portland, OR--WA",71317.0,2024,Aerial Tramway,519.3,2104238.0,11.0,101220.0,Annual Total,26979.0,2894.0,1240428.0
"Josephine County, dba: Josephine Community Transit","Grants Pass, OR",34516.0,2024,Commuter Bus,30.42,55724.0,80.0,48000.0,Annual Total,261325.0,8516.0,29998.0
"Josephine County, dba: Josephine Community Transit","Grants Pass, OR",34516.0,2024,Demand Response,30.42,55724.0,80.0,48000.0,Annual Total,84887.0,7190.0,17375.0
"Josephine County, dba: Josephine Community Transit","Grants Pass, OR",34516.0,2024,Bus,30.42,55724.0,80.0,48000.0,Annual Total,182790.0,12263.0,96667.0
"City of Albany, dba: Albany Transit System, Linn-Benton Loop","Albany, OR",955.0,2024,Demand Response,23.05,62074.0,36.0,123730.0,Annual Total,85474.0,7344.0,15982.0
"City of Albany, dba: Albany Transit System, Linn-Benton Loop","Albany, OR",955.0,2024,Bus,23.05,62074.0,36.0,123730.0,Annual Total,411066.0,21119.0,152402.0
City of Milton-Freewater,,,2024,Demand Response,0.0,,,,Annual Total,3260.0,450.0,2458.0
City of Milton-Freewater,,,2024,Bus,0.0,,,,Annual Total,19077.0,984.0,2402.0
Valley Transit,"Walla Walla, WA--OR",91405.0,2024,Demand Response,23.86,50013.0,25.0,47390.0,Annual Total,118233.0,12722.0,31216.0
Valley Transit,"Walla Walla, WA--OR",91405.0,2024,Bus,23.86,50013.0,25.0,47390.0,Annual Total,335516.0,25710.0,459098.0
Valley Transit,"Walla Walla, WA--OR",91405.0,2024,Vanpool,23.86,50013.0,25.0,47390.0,Annual Total,96089.0,1860.0,11700.0
"Benton County, dba: Benton Area Transit","Corvallis, OR",20422.0,2024,Commuter Bus,17.45,66791.0,675.0,96017.0,Annual Total,124728.0,4277.0,12276.0
"Benton County, dba: Benton Area Transit","Corvallis, OR",20422.0,2024,Demand Response,17.45,66791.0,675.0,96017.0,Annual Total,196278.0,17750.0,30913.0
"Gulkana Village Council, dba: Soaring Eagle Transit",Alaska Non-UZA,2.0,2024,Demand Response,0.0,359299.0,,,Annual Total,3282.0,90.0,84.0
"Gulkana Village Council, dba: Soaring Eagle Transit",Alaska Non-UZA,2.0,2024,Bus,0.0,359299.0,,,Annual Total,100665.0,2699.0,1125.0
"Lummi Nation, dba: Lummi Transit",Washington Non-UZA,53.0,2024,Bus,0.0,1895776.0,,,Annual Total,61187.0,5374.0,13546.0
"Squaxin Island Tribe, dba: Squaxin Island Transit",Washington Non-UZA,53.0,2024,Demand Response,0.0,1895776.0,,,Annual Total,6050.0,272.0,326.0
"Squaxin Island Tribe, dba: Squaxin Island Transit",Washington Non-UZA,53.0,2024,Bus,0.0,1895776.0,,,Annual Total,46138.0,3082.0,7945.0
"Confederated Tribes and Bands of The Yakama Nation, dba: Pahto Public Passage",Washington Non-UZA,53.0,2024,Demand Response,0.0,1895776.0,0.0,0.0,Annual Total,10544.0,360.0,1173.0
"Confederated Tribes and Bands of The Yakama Nation, dba: Pahto Public Passage",Washington Non-UZA,53.0,2024,Bus,0.0,1895776.0,0.0,0.0,Annual Total,184492.0,6382.0,17966.0
"Confederated Tribes of the Umatilla Indian Reservation, dba: Kayak Public Transit",Oregon Non-UZA,41.0,2024,Commuter Bus,0.0,1553447.0,,,Annual Total,328960.0,9696.0,45757.0
"Confederated Tribes of the Umatilla Indian Reservation, dba: Kayak Public Transit",Oregon Non-UZA,41.0,2024,Bus,0.0,1553447.0,,,Annual Total,156531.0,8333.0,34107.0
"Cowlitz Indian Tribe, dba: Cowlitz Tribe Transit Service",Washington Non-UZA,53.0,2024,Demand Response,0.0,1895776.0,,,Annual Total,150154.0,4889.0,5799.0
"Nez Perce Tribe, dba: Appaloosa Express",Idaho Non-UZA,16.0,2024,Demand Response,0.0,836252.0,,,Annual Total,1359.0,67.0,20.0
"Nez Perce Tribe, dba: Appaloosa Express",Idaho Non-UZA,16.0,2024,Bus,0.0,836252.0,,,Annual Total,213805.0,7987.0,5831.0
"Asa'carsarmiut Tribe, dba: Asa'carsarmiut Tribal Council Transit Service",Alaska Non-UZA,2.0,2024,Demand Response,0.0,359299.0,,,Annual Total,5834.0,436.0,1683.0
"Seldovia Village Tribe, dba: Seldovia Bay Ferry",Alaska Non-UZA,2.0,2024,Ferryboat,0.0,359299.0,,,Annual Total,6160.0,290.0,15071.0
"Spokane Tribe of Indians, dba: The Moccasin Express",Washington Non-UZA,53.0,2024,Demand Response,0.0,1895776.0,,,Annual Total,107277.0,4397.0,2176.0
"Spokane Tribe of Indians, dba: The Moccasin Express",Washington Non-UZA,53.0,2024,Bus,0.0,1895776.0,,,Annual Total,346732.0,13682.0,20153.0
"Spokane Tribe of Indians, dba: The Moccasin Express",Washington Non-UZA,53.0,2024,Vanpool,0.0,1895776.0,,,Annual Total,42120.0,1404.0,6480.0
Ketchikan Indian Community,Alaska Non-UZA,2.0,2024,Demand Response,0.0,359299.0,,,Annual Total,9271.0,700.0,2465.0
"Hydaburg Cooperative Association, dba: HCA transit",Alaska Non-UZA,2.0,2024,Demand Response,0.0,359299.0,,,Annual Total,17407.0,1255.0,677.0
"Garfield County Transportation Program, dba: Garfield County Transportation Authority",,,2024,Demand Response,0.0,,248.0,409271.0,Annual Total,64694.0,4603.0,13512.0
"Thurston Regional Planning Council, dba: ruralTRANSIT",,,2024,Bus,0.0,,,,Annual Total,347923.0,12508.0,35347.0
Rural Resources Community Action,,,2024,Commuter Bus,0.0,,,,Annual Total,59310.0,1990.0,5174.0
Rural Resources Community Action,,,2024,Demand Response,0.0,,,,Annual Total,300458.0,11445.0,14767.0
People for People Moses Lake,,,2024,Demand Response,0.0,,,,Annual Total,169790.0,12041.0,15970.0
People for People Moses Lake,,,2024,Bus,0.0,,,,Annual Total,287345.0,12639.0,10685.0
"City of Pullman, dba: Pullman Transit",,,2024,Demand Response,0.0,,,,Annual Total,63331.0,7441.0,14985.0
